Fiyat,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Araç Durumu,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden
880.000 TL,10 Aralık 2025,Peugeot,208,1.2 PureTech Active,2021.0,80.000 km,Düz,Benzin,Hatchback/5,Sarı,1199 cc,76 hp,Önden Çekiş,İkinci El,"4,1 lt",44 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden
1.050.000 TL,08 Aralık 2025,Volkswagen,Golf,1.6 TDi BlueMotion Highline,2013.0,234.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,105 hp,Önden Çekiş,İkinci El,"3,9 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden
2.250.000 TL,10 Aralık 2025,Volkswagen,Passat,1.6 TDi Business,2020.0,56.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,120 hp,Önden Çekiş,İkinci El,4 lt,59 lt,Tamamı orjinal,,Sahibinden
215.000 TL,10 Aralık 2025,Tofaş,Şahin,S,1995.0,99.999 km,Düz,LPG & Benzin,Sedan,Beyaz,1581 cc,80 hp,Arkadan İtiş,İkinci El,,52 lt,3 boyalı,,Sahibinden
460.000 TL,10 Aralık 2025,Ford,Fusion,1.6 Lux,2004.0,271.000 km,Düz,LPG & Benzin,Hatchback/5,Gri,1596 cc,100 hp,Önden Çekiş,İkinci El,"6,6 lt",45 lt,Belirtilmemiş,Takasa Uygun,Sahibinden
1.600.000 TL,10 Aralık 2025,BMW,1 Serisi,118i M Plus,2017.0,73.000 km,Otomatik,Benzin,Hatchback/5,Mavi,1499 cc,136 hp,Arkadan İtiş,İkinci El,"5,2 lt",52 lt,Tamamı orjinal,,Sahibinden
1.175.000 TL,07 Aralık 2025,Honda,Civic,1.6 i-VTEC ECO Elegance,2012.0,80.000 km,Otomatik,Benzin,Sedan,Siyah,1595 cc,125 hp,Önden Çekiş,İkinci El,"6,7 lt",50 lt,3 boyalı,Takasa Uygun,Galeriden
340.000 TL,10 Aralık 2025,Opel,Vectra,2.0 CD,1998.0,330.000 km,Düz,LPG & Benzin,Station wagon,Beyaz,1998 cc,136 hp,Önden Çekiş,İkinci El,"8,7 lt",61 lt,"4 değişen, 3 boyalı",,Sahibinden
575.000 TL,09 Aralık 2025,Citroen,C4,1.6 HDi Easy,2014.0,237.000 km,Düz,Dizel,Hatchback/5,Gri,1560 cc,93 hp,Önden Çekiş,İkinci El,"4,2 lt",60 lt,Tamamı orjinal,Takasa Uygun,Galeriden
1.560.000 TL,09 Aralık 2025,Honda,Civic,1.6 i-VTEC Eco Executive,2020.0,100.000 km,Otomatik,LPG & Benzin,Sedan,Mavi (metalik),1597 cc,125 hp,Önden Çekiş,İkinci El,"6,3 lt",46 lt,2 boyalı,,Sahibinden
1.020.000 TL,28 Kasım 2025,Ford,Focus,1.6 Ti-VCT Trend X,2015.0,155.000 km,Yarı Otomatik,LPG & Benzin,Sedan,Beyaz,1596 cc,125 hp,Önden Çekiş,İkinci El,"6,3 lt",55 lt,2 boyalı,Takasa Uygun Değil,Galeriden
1.250.000 TL,05 Aralık 2025,Audi,A3,A3 Sedan 1.6 TDI Dynamic,2017.0,209.000 km,Otomatik,Dizel,Sedan,Mavi,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden
720.000 TL,10 Aralık 2025,Opel,Astra,1.3 CDTI Enjoy,2012.0,191.000 km,Düz,Dizel,Hatchback/5,Beyaz,1248 cc,90 hp,Önden Çekiş,İkinci El,"4,8 lt",52 lt,3 boyalı,,Sahibinden
415.000 TL,10 Aralık 2025,Volkswagen,Bora,1.6 Pacific,2004.0,262.000 km,Otomatik,LPG & Benzin,Sedan,Bej,1595 cc,102 hp,Önden Çekiş,İkinci El,"8,1 lt",55 lt,"4 değişen, 5 boyalı",Takasa Uygun,Sahibinden
638.000 TL,06 Aralık 2025,Fiat,Egea,1.4 Fire Easy Plus,2023.0,31.000 km,Düz,Benzin,Sedan,Mavi,1368 cc,95 hp,Önden Çekiş,İkinci El,"6,4 lt",45 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden
1.485.000 TL,06 Aralık 2025,Ford,Focus,1.5 TDCi Trend X,2024.0,73.000 km,Otomatik,Dizel,Sedan,Mavi,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,1 boyalı,Takasa Uygun,Galeriden
177.500 TL,10 Aralık 2025,Lada,Vega,1.6,2006.0,165.500 km,Düz,Benzin,Sedan,Gri,1596 cc,90 hp,Önden Çekiş,İkinci El,"6,8 lt",43 lt,Tamamı boyalı,,Sahibinden
990.000 TL,09 Aralık 2025,Toyota,Corolla,1.33 Life,2017.0,100.500 km,Düz,LPG & Benzin,Sedan,Beyaz,1329 cc,99 hp,Önden Çekiş,İkinci El,"5,8 lt",55 lt,Tamamı orjinal,,Sahibinden
614.000 TL,08 Aralık 2025,Volkswagen,Polo,1.2 Trendline,2012.0,150.000 km,Düz,Benzin,Hatchback/5,Siyah,1200 cm3' e kadar,51 - 75 HP,Önden Çekiş,İkinci El,,,6 boyalı,Takasa Uygun Değil,Galeriden
289.950 TL,09 Aralık 2025,Renault,Megane,1.6 RTE,1999.0,295.000 km,Düz,LPG & Benzin,Sedan,Füme,1598 cc,107 hp,Önden Çekiş,İkinci El,7 lt,60 lt,Belirtilmemiş,Takasa Uygun,Galeriden
350.000 TL,09 Aralık 2025,Fiat,Linea,1.3 Multijet Easy,2014.0,242.000 km,Düz,Dizel,Sedan,Beyaz,1248 cc,95 hp,Önden Çekiş,İkinci El,"4,9 lt",45 lt,"1 değişen, 12 boyalı",Takasa Uygun Değil,Sahibinden
760.000 TL,03 Aralık 2025,Skoda,Rapid,1.4 TDI Spaceback Style,2016.0,159.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1422 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",55 lt,3 boyalı,Takasa Uygun,Galeriden
490.000 TL,09 Aralık 2025,Volkswagen,Polo,1.2 TDi Trendline,2013.0,316.000 km,Düz,Dizel,Hatchback/5,Beyaz,1199 cc,75 hp,Önden Çekiş,İkinci El,"3,8 lt",45 lt,2 boyalı,,Sahibinden
260.000 TL,28 Kasım 2025,Tofaş,Doğan,SLX,1998.0,98.988 km,Düz,LPG & Benzin,Sedan,Turkuaz,1401 - 1600 cm3,76 - 100 HP,Arkadan İtiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden
929.000 TL,06 Aralık 2025,Kia,Rio,1.4 CVVT Cool,2022.0,146.000 km,Otomatik,Benzin,Hatchback/5,Gri,1368 cc,100 hp,Önden Çekiş,İkinci El,"6,2 lt",45 lt,"1 değişen, 4 boyalı",Takasa Uygun,Galeriden
280.000 TL,10 Aralık 2025,Fiat,Albea,Sole 1.3 Multijet Dynamic,2009.0,298.000 km,Düz,Dizel,Sedan,Gri,1248 cc,70 hp,Önden Çekiş,İkinci El,"4,7 lt",48 lt,"1 değişen, 12 boyalı",Takasa Uygun,Sahibinden
